datetime,dam_discharge_(m_/s)
03/11/1983,1166.08
04/11/1983,1629.92
05/11/1983,1444.07
06/11/1983,1356.19
07/11/1983,1616.59
08/11/1983,1419.41
09/11/1983,1173.41
10/11/1983,2340.41
11/11/1983,1353.85
12/11/1983,834.72
13/11/1983,1247.37
14/11/1983,1119.82
15/11/1983,1747.84
16/11/1983,1596.5
17/11/1983,1619.61
18/11/1983,1388.99
19/11/1983,1416.19
20/11/1983,1388.72
21/11/1983,1475.64
22/11/1983,1750.6
23/11/1983,1600.82
24/11/1983,1650.03
25/11/1983,1649.87
26/11/1983,1765.33
27/11/1983,1586.45
28/11/1983,1607.65
29/11/1983,1856.64
30/11/1983,1300.49
01/12/1983,1243.28
02/12/1983,1144.22
03/12/1983,1554.87
04/12/1983,943.88
05/12/1983,1638.65
06/12/1983,1467.24
07/12/1983,1840.39
08/12/1983,1298.42
09/12/1983,1439
10/12/1983,1836.66
11/12/1983,1914.94
12/12/1983,1295.95
13/12/1983,1554.53
14/12/1983,1588.33
15/12/1983,1612.1
16/12/1983,1421.23
17/12/1983,1884.42
18/12/1983,933.09
19/12/1983,1373.66
20/12/1983,1634.38
21/12/1983,1637.17
22/12/1983,1905.83
23/12/1983,1859.47
24/12/1983,1414.34
25/12/1983,1889.96
26/12/1983,1285.79
27/12/1983,1779.27
28/12/1983,2043.16
29/12/1983,1864.48
30/12/1983,1531.73
31/12/1983,1400.47
01/01/1984,1041.42
02/01/1984,1593.16
03/01/1984,1165.43
04/01/1984,1262.06
05/01/1984,1142.78
06/01/1984,1361.88
07/01/1984,1491.61
08/01/1984,1582.08
09/01/1984,1319.85
10/01/1984,1820.79
11/01/1984,1437.54
12/01/1984,1263.68
13/01/1984,1567.89
14/01/1984,2089.07
15/01/1984,1600.55
16/01/1984,1391.14
17/01/1984,1041.76
18/01/1984,1434.18
19/01/1984,1570.48
20/01/1984,1383.73
21/01/1984,1000.38
22/01/1984,1244.83
23/01/1984,1936.36
24/01/1984,1930.2
25/01/1984,1234.01
26/01/1984,1701.83
27/01/1984,1146.43
28/01/1984,1921.29
29/01/1984,1573.57
30/01/1984,1784.89
31/01/1984,985.47
01/02/1984,1703.29
02/02/1984,1497.7
03/02/1984,1755.58
04/02/1984,1774.46
05/02/1984,1519.74
06/02/1984,1319.75
07/02/1984,1733.91
08/02/1984,1481.95
09/02/1984,1238.16
10/02/1984,1223.95
11/02/1984,1056.85
12/02/1984,1346.91
13/02/1984,1830.81
14/02/1984,1553.35
15/02/1984,1341.07
16/02/1984,1741.46
17/02/1984,1250.26
18/02/1984,1528.61
19/02/1984,1446.11
20/02/1984,1733.74
21/02/1984,1026.83
22/02/1984,1244.94
23/02/1984,1008.53
24/02/1984,1422.12
25/02/1984,1863.43
26/02/1984,1348.37
27/02/1984,1346.79
28/02/1984,1761.52
29/02/1984,1820.56
01/03/1984,1473.43
02/03/1984,1705.41
03/03/1984,1176.91
04/03/1984,1913.39
05/03/1984,2144.61
06/03/1984,1656.36
07/03/1984,874.7
08/03/1984,1332.53
09/03/1984,1683.85
10/03/1984,1373.56
11/03/1984,1881.66
12/03/1984,1676.45
13/03/1984,1288.06
14/03/1984,1509.68
15/03/1984,1231.85
16/03/1984,1445.22
17/03/1984,1333.62
18/03/1984,1852.43
19/03/1984,2134.8
20/03/1984,1070.64
21/03/1984,923.04
22/03/1984,1426.45
23/03/1984,1044.48
24/03/1984,1513.86
25/03/1984,1724.68
26/03/1984,1948.24
27/03/1984,1560.42
28/03/1984,1442.05
29/03/1984,906.48
30/03/1984,1507.86
31/03/1984,1521.39
01/04/1984,1691.69
02/04/1984,1287.45
03/04/1984,1369.48
04/04/1984,1056.6
05/04/1984,812.61
06/04/1984,1167.45
07/04/1984,1028.9
08/04/1984,1601.01
09/04/1984,1344.56
10/04/1984,1338.53
11/04/1984,1204.68
12/04/1984,530.23
13/04/1984,1952.49
14/04/1984,1199.92
15/04/1984,1376.27
16/04/1984,1063.53
17/04/1984,1791.58
18/04/1984,1543.03
19/04/1984,1252.09
20/04/1984,1382.33
21/04/1984,2003.45
22/04/1984,1478.11
23/04/1984,1445.48
24/04/1984,1217.59
25/04/1984,931.63
26/04/1984,1451.99
27/04/1984,1597.65
28/04/1984,1829.88
29/04/1984,825.45
30/04/1984,1162.47
01/05/1984,2709.63
02/05/1984,2998.26
03/05/1984,2927.48
04/05/1984,2939.16
05/05/1984,3204.05
06/05/1984,2548.35
07/05/1984,3467.07
08/05/1984,3216.73
09/05/1984,2840.08
10/05/1984,3800.45
11/05/1984,3778.21
12/05/1984,3466.45
13/05/1984,1490.72
14/05/1984,3789.47
15/05/1984,3397.38
16/05/1984,4003.2
17/05/1984,3618.73
18/05/1984,3789.17
19/05/1984,3439.33
20/05/1984,3674.35
21/05/1984,3997.06
22/05/1984,3108.28
23/05/1984,2213.88
24/05/1984,2846.27
25/05/1984,3194.97
26/05/1984,3037.44
27/05/1984,2376.72
28/05/1984,2184.47
29/05/1984,2629.42
30/05/1984,3403.87
31/05/1984,3790.17
01/06/1984,3458.28
02/06/1984,3528.71
03/06/1984,2959.59
04/06/1984,2128.96
05/06/1984,2772.39
06/06/1984,2870.62
07/06/1984,2751.47
08/06/1984,3027.35
09/06/1984,3220.71
10/06/1984,3426.51
11/06/1984,2860.94
12/06/1984,2048.12
13/06/1984,2758.56
14/06/1984,3021.86
15/06/1984,3611.4
16/06/1984,2716.1
17/06/1984,3256.27
18/06/1984,3145.04
19/06/1984,3021.95
20/06/1984,3465.27
21/06/1984,2669.58
22/06/1984,2712.41
23/06/1984,2994.05
24/06/1984,2679.93
25/06/1984,3254.01
26/06/1984,2643.4
27/06/1984,3113.15
28/06/1984,2949.91
29/06/1984,3107.46
30/06/1984,2770.13
01/07/1984,2830.46
02/07/1984,3048
03/07/1984,3101.04
04/07/1984,2997.9
05/07/1984,3852.68
06/07/1984,2504.63
07/07/1984,2967.9
08/07/1984,2213.19
09/07/1984,3186.04
10/07/1984,2442.38
11/07/1984,2860.84
12/07/1984,2813.97
13/07/1984,3140.45
14/07/1984,2723.6
15/07/1984,2702.35
16/07/1984,3717.93
17/07/1984,3142.28
18/07/1984,2719.47
19/07/1984,2874.58
20/07/1984,3822.68
21/07/1984,2882.42
22/07/1984,2655.36
23/07/1984,2657.5
24/07/1984,2725.44
25/07/1984,2702.75
26/07/1984,2360.18
27/07/1984,2437.9
28/07/1984,2585.34
29/07/1984,3295.79
30/07/1984,2809.38
31/07/1984,2896.42
01/08/1984,3635.04
02/08/1984,3647.5
03/08/1984,2858.94
04/08/1984,2684.57
05/08/1984,2567.78
06/08/1984,3346.39
07/08/1984,2897.65
08/08/1984,2806.75
09/08/1984,2593.17
10/08/1984,2615.17
11/08/1984,3160.03
12/08/1984,2342.28
13/08/1984,3497.43
14/08/1984,2733.08
15/08/1984,2925.18
16/08/1984,2331.51
17/08/1984,2993.82
18/08/1984,2835.84
19/08/1984,2974.96
20/08/1984,3735.85
21/08/1984,3088.85
22/08/1984,2602.67
23/08/1984,2644.34
24/08/1984,3297.57
25/08/1984,3649.35
26/08/1984,3140.96
27/08/1984,3344.36
28/08/1984,3304.87
29/08/1984,3709.53
30/08/1984,2025.2
31/08/1984,3333.61
01/09/1984,3864
02/09/1984,3864
03/09/1984,3864
04/09/1984,3864
05/09/1984,3864
06/09/1984,3864
07/09/1984,3864
08/09/1984,3864
09/09/1984,3864
10/09/1984,3864
11/09/1984,3864
12/09/1984,3864
13/09/1984,3864
14/09/1984,3864
15/09/1984,3864
16/09/1984,3864
17/09/1984,3864
18/09/1984,3864
19/09/1984,3864
20/09/1984,3864
21/09/1984,3864
22/09/1984,3864
23/09/1984,3864
24/09/1984,3864
25/09/1984,3864
26/09/1984,3864
27/09/1984,3864
28/09/1984,3864
29/09/1984,3864
30/09/1984,3864
01/10/1984,3491.87
02/10/1984,2330.64
03/10/1984,2557.17
04/10/1984,2574.61
05/10/1984,2635.6
06/10/1984,2759.14
07/10/1984,3121.3
08/10/1984,3432.84
09/10/1984,3540.66
10/10/1984,2581.09
11/10/1984,2577.65
12/10/1984,3657.91
13/10/1984,3323.37
14/10/1984,3041.43
15/10/1984,3236.67
16/10/1984,2985.1
17/10/1984,3262.29
18/10/1984,2831.97
19/10/1984,3134.4
20/10/1984,2244.73
21/10/1984,2656.11
22/10/1984,2661.49
23/10/1984,2812.8
24/10/1984,2536.74
25/10/1984,2733.23
26/10/1984,2242.79
27/10/1984,3274.35
28/10/1984,2958.74
29/10/1984,2147.4
30/10/1984,2582.59
31/10/1984,3168.3
01/11/1984,1337.09
02/11/1984,1290.92
03/11/1984,1477.62
04/11/1984,1603.08
05/11/1984,1069.09
06/11/1984,1665.04
07/11/1984,1259.91
08/11/1984,1494.62
09/11/1984,1489.37
10/11/1984,1341.88
11/11/1984,1192.9
12/11/1984,1414.29
13/11/1984,1987.6
14/11/1984,1091.5
15/11/1984,2007.69
16/11/1984,1422.08
17/11/1984,1510.61
18/11/1984,1173.99
19/11/1984,1268.62
20/11/1984,1349.13
21/11/1984,1186.29
22/11/1984,1437.32
23/11/1984,1377.9
24/11/1984,2055.23
25/11/1984,1150.21
26/11/1984,1530.81
27/11/1984,1574.35
28/11/1984,1178.9
29/11/1984,1706.05
30/11/1984,1380.5
01/12/1984,752.28
02/12/1984,1697.95
03/12/1984,1164.92
04/12/1984,1185.67
05/12/1984,1706.37
06/12/1984,1395.85
07/12/1984,1775.33
08/12/1984,1863.05
09/12/1984,1306.52
10/12/1984,1737.98
11/12/1984,1273.36
12/12/1984,2169.93
13/12/1984,1292.11
14/12/1984,1807.83
15/12/1984,1753.14
16/12/1984,1594.83
17/12/1984,1298.84
18/12/1984,1454.58
19/12/1984,853.92
20/12/1984,1567.33
21/12/1984,1604.88
22/12/1984,1540.05
23/12/1984,608.01
24/12/1984,1120.31
25/12/1984,1275.57
26/12/1984,1587.5
27/12/1984,1586.8
28/12/1984,1448.93
29/12/1984,1690.57
30/12/1984,1192.13
31/12/1984,1683.07
01/01/1985,1642.42
02/01/1985,1613.27
03/01/1985,1445.39
04/01/1985,2049.22
05/01/1985,1647.96
06/01/1985,1209.5
07/01/1985,1574.49
08/01/1985,1725.75
09/01/1985,1323.57
10/01/1985,1826.78
11/01/1985,1614.61
12/01/1985,797.26
13/01/1985,1589.9
14/01/1985,1378.19
15/01/1985,1661.15
16/01/1985,1783.26
17/01/1985,1558.55
18/01/1985,1999.58
19/01/1985,1446.39
20/01/1985,1687.45
21/01/1985,1741.48
22/01/1985,1470.8
23/01/1985,1733.63
24/01/1985,1321.6
25/01/1985,1373.23
26/01/1985,1106.25
27/01/1985,1572.42
28/01/1985,1597.58
29/01/1985,1853.78
30/01/1985,1737.34
31/01/1985,1414.56
01/02/1985,1146.55
02/02/1985,1629.86
03/02/1985,1833.23
04/02/1985,1726.56
05/02/1985,1825.34
06/02/1985,1436.43
07/02/1985,1360.01
08/02/1985,1278.93
09/02/1985,1483.23
10/02/1985,1476.42
11/02/1985,1562
12/02/1985,1461.21
13/02/1985,1459.91
14/02/1985,1266.99
15/02/1985,1782.49
16/02/1985,1522.96
17/02/1985,1447.67
18/02/1985,1275.77
19/02/1985,1100.43
20/02/1985,1892.39
21/02/1985,1666.39
22/02/1985,1012.82
23/02/1985,1728.94
24/02/1985,1776.74
25/02/1985,1537.31
26/02/1985,1979.43
27/02/1985,1565.02
28/02/1985,1074.95
01/03/1985,1609.55
02/03/1985,1573.47
03/03/1985,1319.01
04/03/1985,1672.07
05/03/1985,999.7
06/03/1985,1797.17
07/03/1985,1236.56
08/03/1985,1204.52
09/03/1985,1465.85
10/03/1985,1629.89
11/03/1985,1549.18
12/03/1985,1277.2
13/03/1985,1348.17
14/03/1985,1160.09
15/03/1985,1432.6
16/03/1985,1822.51
17/03/1985,1498.72
18/03/1985,1757.82
19/03/1985,1936.62
20/03/1985,1323.59
21/03/1985,1444.03
22/03/1985,2151.36
23/03/1985,1933.3
24/03/1985,998.28
25/03/1985,1616.14
26/03/1985,1500.17
27/03/1985,1747.94
